,abs_coefficient
wtd_gmean_atomic_radius,102.58179069021153
wtd_mean_atomic_radius,93.79956920125858
entropy_fie,45.33411453646954
wtd_gmean_Valence,33.36059764541932
wtd_mean_atomic_mass,30.2769576980528
entropy_atomic_radius,29.775500092146046
entropy_Valence,29.25404134362824
wtd_mean_Valence,29.098075675917023
wtd_mean_FusionHeat,27.74096844028618
std_ElectronAffinity,27.028012745318343
wtd_entropy_Valence,26.760216584722215
wtd_mean_fie,25.60369052534081
mean_atomic_mass,25.166314301152006
wtd_mean_ThermalConductivity,23.92484127078132
wtd_gmean_fie,23.764476105119385
wtd_gmean_atomic_mass,23.70565659979484
gmean_Valence,22.242841398327627
std_fie,21.833799321505403
range_ElectronAffinity,21.58280304957945
wtd_gmean_FusionHeat,21.282792746428417
range_fie,21.11905231604403
mean_FusionHeat,19.58195678208937
wtd_entropy_atomic_radius,18.250162564240334
wtd_gmean_ElectronAffinity,18.141310351228014
mean_Valence,17.9340332157955
std_ThermalConductivity,16.945822655240367
wtd_mean_ElectronAffinity,16.693043980275892
gmean_atomic_mass,15.831236886410643
gmean_FusionHeat,15.685960219121327
wtd_entropy_fie,14.744503098827629
mean_fie,14.007050705451729
range_ThermalConductivity,13.814220158353653
mean_Density,13.528957457249069
range_atomic_radius,13.13141722088519
entropy_atomic_mass,13.12280583356484
wtd_gmean_ThermalConductivity,13.012865507990618
gmean_fie,11.934777778766398
range_atomic_mass,11.69973415817104
wtd_std_Valence,11.40045532129561
std_atomic_mass,11.235648021575571
wtd_std_ElectronAffinity,11.089655703600787
mean_atomic_radius,10.780512278026203
std_Density,10.188182785401231
wtd_range_ThermalConductivity,9.857128836035773
wtd_entropy_FusionHeat,9.415624061993455
wtd_gmean_Density,9.253594116809897
wtd_std_atomic_radius,8.392264162393126
std_atomic_radius,8.14781761523465
range_FusionHeat,7.5531831374979745
entropy_FusionHeat,7.316316265864376
wtd_range_FusionHeat,6.875103699105594
range_Density,6.480399226012473
wtd_entropy_Density,6.32752417764339
wtd_entropy_ElectronAffinity,6.068317078853656
range_Valence,5.9501952087044465
wtd_std_FusionHeat,5.536733456491284
entropy_Density,5.502614141289982
gmean_ElectronAffinity,5.224598584236819
number_of_elements,5.032309094204153
std_FusionHeat,4.868899434474219
wtd_range_fie,4.8090991826211695
gmean_atomic_radius,4.437350371930177
gmean_Density,4.320820570211815
wtd_range_ElectronAffinity,3.9759241509860086
entropy_ThermalConductivity,3.646073269603697
std_Valence,3.3651210028667506
wtd_range_atomic_radius,3.203561998167416
mean_ElectronAffinity,3.036589830668637
wtd_std_fie,2.9718232201999983
mean_ThermalConductivity,2.6049863154362036
wtd_std_Density,2.5526319901491092
gmean_ThermalConductivity,2.0271912668282432
wtd_entropy_atomic_mass,1.8282488565215216
wtd_std_atomic_mass,1.8080795830245093
entropy_ElectronAffinity,1.5407801716284375
wtd_range_Valence,0.7655960044264596
wtd_range_atomic_mass,0.700705942345504
wtd_mean_Density,0.5358582360836945
wtd_std_ThermalConductivity,0.5089125814241804
wtd_entropy_ThermalConductivity,0.4719307706853666
wtd_range_Density,0.12475809560954687
