repeat,rmse,r2,test_size,n_features
1,9.747871290156677,0.9188333185580667,7030,24
2,9.749657288108082,0.9184013433167566,7084,24
3,9.522983885579423,0.9204877236938326,7047,24
4,9.57653718675052,0.9201746217615253,6992,24
5,10.144002239109325,0.9119832256752676,7043,24
6,9.55406900169864,0.9234109309225831,7137,24
7,9.653110212844895,0.9216285123911739,7019,24
8,9.76836655638169,0.9193568235563088,7182,24
9,9.477221201398251,0.922100575170535,7159,24
10,9.876729280220436,0.9171382469498278,7036,24
11,9.90275412850364,0.9162161487884516,7094,24
12,9.464393196546034,0.9229864831846213,7061,24
13,9.863832929422635,0.9174028080007124,6978,24
14,9.473511889657537,0.9230259861862637,7043,24
15,9.946496327305896,0.9165593603302401,7016,24
16,9.756281147882886,0.9201502801190093,7025,24
17,9.56510778848882,0.921625433043264,7184,24
18,9.695488627487086,0.9199084306571768,7043,24
19,9.947859408009537,0.915952662213458,7092,24
20,9.779369652822934,0.9192191407787689,7174,24
21,9.229274973477038,0.9276928349518258,7022,24
22,9.603389998628117,0.920488289199633,7053,24
23,9.620639136952805,0.9201410815161487,7004,24
24,9.510603613675276,0.92180665933521,7025,24
25,9.583539574857674,0.9232271305203132,7069,24
