,importance
std_atomic_radius,0.009477361120699771
wtd_std_atomic_radius,0.01119980888037444
wtd_entropy_FusionHeat,0.01170398501588753
wtd_entropy_atomic_mass,0.012141729689482813
gmean_Density,0.012314717971786866
entropy_Density,0.012519722666379027
wtd_std_Valence,0.012539658016522936
wtd_range_fie,0.01303811943060501
mean_Density,0.013056455750537902
gmean_ElectronAffinity,0.013966764912147173
wtd_mean_atomic_mass,0.015067631519560634
wtd_range_atomic_mass,0.01542379192996947
std_Density,0.01611035275003947
wtd_gmean_ElectronAffinity,0.019971281607238697
wtd_mean_ThermalConductivity,0.02075786491904859
wtd_mean_Valence,0.021430281857983142
wtd_entropy_ThermalConductivity,0.02159488731687623
std_atomic_mass,0.023953768311951167
wtd_gmean_Valence,0.027677586069050134
wtd_std_ElectronAffinity,0.028083261823993535
range_atomic_radius,0.04267521766537438
wtd_std_ThermalConductivity,0.05090772393967598
wtd_gmean_ThermalConductivity,0.10549949534784044
range_ThermalConductivity,0.4688885314869747
