feature,rank
range_ThermalConductivity,1
wtd_gmean_Valence,2
wtd_gmean_ThermalConductivity,3
std_atomic_mass,4
wtd_entropy_ThermalConductivity,5
wtd_mean_Valence,6
wtd_std_ElectronAffinity,7
range_atomic_radius,8
wtd_std_ThermalConductivity,9
wtd_entropy_FusionHeat,10
wtd_range_atomic_mass,11
std_Density,12
mean_Density,13
gmean_ElectronAffinity,14
entropy_Density,15
wtd_std_Valence,16
wtd_mean_ThermalConductivity,17
gmean_Density,18
wtd_mean_atomic_mass,19
wtd_entropy_atomic_mass,20
wtd_range_fie,21
wtd_gmean_ElectronAffinity,22
wtd_std_atomic_radius,23
std_atomic_radius,24
wtd_range_ElectronAffinity,25
wtd_std_atomic_mass,26
wtd_entropy_Density,27
wtd_std_fie,28
wtd_entropy_Valence,29
wtd_std_FusionHeat,30
wtd_gmean_Density,31
wtd_range_Valence,32
wtd_std_Density,33
range_fie,34
std_ElectronAffinity,35
wtd_gmean_FusionHeat,36
wtd_range_ThermalConductivity,37
entropy_FusionHeat,38
wtd_entropy_fie,39
std_ThermalConductivity,40
wtd_mean_atomic_radius,41
mean_ThermalConductivity,42
wtd_entropy_atomic_radius,43
wtd_mean_ElectronAffinity,44
wtd_mean_fie,45
entropy_ThermalConductivity,46
wtd_range_atomic_radius,47
wtd_entropy_ElectronAffinity,48
wtd_gmean_atomic_mass,49
wtd_mean_FusionHeat,50
wtd_mean_Density,51
wtd_gmean_atomic_radius,52
gmean_Valence,53
wtd_range_Density,54
entropy_atomic_mass,55
mean_atomic_radius,56
wtd_gmean_fie,57
wtd_range_FusionHeat,58
range_atomic_mass,59
std_fie,60
entropy_atomic_radius,61
gmean_ThermalConductivity,62
range_ElectronAffinity,63
mean_fie,64
entropy_Valence,65
mean_atomic_mass,66
entropy_fie,67
std_FusionHeat,68
std_Valence,69
gmean_fie,70
gmean_atomic_mass,71
mean_FusionHeat,72
mean_ElectronAffinity,73
gmean_atomic_radius,74
entropy_ElectronAffinity,75
range_Density,76
mean_Valence,77
gmean_FusionHeat,78
range_FusionHeat,79
range_Valence,80
number_of_elements,81
