step,n_features_before,removed_feature,importance_at_removal,rank_from_most_important
1,81,number_of_elements,0.006031701622402667,81
2,80,range_Valence,0.02280985080742326,80
3,79,range_FusionHeat,0.04795902427441175,79
4,78,gmean_FusionHeat,0.08665120824205215,78
5,77,mean_Valence,0.10670563179559671,77
6,76,range_Density,0.07035253000135396,76
7,75,entropy_ElectronAffinity,0.10876218342215853,75
8,74,gmean_atomic_radius,0.11192477083667729,74
9,73,mean_ElectronAffinity,0.10868968095451592,73
10,72,mean_FusionHeat,0.12683450036313046,72
11,71,gmean_atomic_mass,0.12791778179873248,71
12,70,gmean_fie,0.12943986309376024,70
13,69,std_Valence,0.1274269549329278,69
14,68,std_FusionHeat,0.15122950917502406,68
15,67,entropy_fie,0.15395117708449776,67
16,66,mean_atomic_mass,0.17443276195556803,66
17,65,entropy_Valence,0.16635861368855606,65
18,64,mean_fie,0.19232217293961687,64
19,63,range_ElectronAffinity,0.18060736480958775,63
20,62,gmean_ThermalConductivity,0.19863123269315164,62
21,61,entropy_atomic_radius,0.19722408029575256,61
22,60,std_fie,0.20200248276360652,60
23,59,range_atomic_mass,0.21749511972541194,59
24,58,wtd_range_FusionHeat,0.21883932174557744,58
25,57,wtd_gmean_fie,0.24628520587478242,57
26,56,mean_atomic_radius,0.2416836016216631,56
27,55,entropy_atomic_mass,0.23041452758036277,55
28,54,wtd_range_Density,0.25963753873421247,54
29,53,gmean_Valence,0.2752753865867623,53
30,52,wtd_gmean_atomic_radius,0.28473505712405406,52
31,51,wtd_mean_Density,0.29986081237112455,51
32,50,wtd_mean_FusionHeat,0.3196207780656734,50
33,49,wtd_gmean_atomic_mass,0.37084804526842036,49
34,48,wtd_entropy_ElectronAffinity,0.3688555576545201,48
35,47,wtd_range_atomic_radius,0.3632727350916065,47
36,46,entropy_ThermalConductivity,0.41865179484021553,46
37,45,wtd_mean_fie,0.4061296474947123,45
38,44,wtd_mean_ElectronAffinity,0.422246778909298,44
39,43,wtd_entropy_atomic_radius,0.39122782499316094,43
40,42,mean_ThermalConductivity,0.4346921310785475,42
41,41,wtd_mean_atomic_radius,0.4848228138639626,41
42,40,std_ThermalConductivity,0.5271180385352867,40
43,39,wtd_entropy_fie,0.5548769746476753,39
44,38,entropy_FusionHeat,0.5638226257137996,38
45,37,wtd_range_ThermalConductivity,0.5469174968780175,37
46,36,wtd_gmean_FusionHeat,0.5841604260161773,36
47,35,std_ElectronAffinity,0.6080221477089441,35
48,34,range_fie,0.6724434556529643,34
49,33,wtd_std_Density,0.701127989280906,33
50,32,wtd_range_Valence,0.8152958173020343,32
51,31,wtd_gmean_Density,0.8448784390298544,31
52,30,wtd_std_FusionHeat,0.8743783371915059,30
53,29,wtd_entropy_Valence,0.9313911035106157,29
54,28,wtd_std_fie,0.9959634127172565,28
55,27,wtd_entropy_Density,1.1234187135311309,27
56,26,wtd_std_atomic_mass,1.0808096149293185,26
