repeat,n_features,rmse,r2
1,1,22.52561778490589,0.566577314220857
1,2,18.194826467914478,0.7172165078862331
1,3,13.66550850976313,0.840481957573392
1,4,11.329779625976496,0.890351891902573
1,5,10.617594206998453,0.9037035086158657
1,6,10.473153658158303,0.9063057005558279
1,7,10.460927493273806,0.906524326837957
1,8,10.375549886779439,0.9080439170653887
1,9,10.213935333911826,0.9108863103672189
1,10,10.096910118158592,0.912916635869058
1,11,10.049209151979882,0.9137375104243605
1,12,10.08229663952316,0.9131685287634292
1,13,10.067118882128579,0.9134297619073746
1,14,10.031443753697008,0.9140422374659329
1,15,10.025911958666141,0.9141370133783425
1,16,9.951613597267377,0.9154048962891572
1,17,9.938648632516761,0.9156251737525457
1,18,9.897645164416804,0.9163199410062508
1,19,9.877345225575654,0.9166628423824773
1,20,9.845235910652168,0.9172037872549906
1,21,9.844502139842698,0.9172161284889853
1,22,9.8137660095833,0.9177322508322763
1,23,9.786407208209814,0.9181903032643908
1,24,9.761226180706565,0.9186107643915928
1,25,9.774767295288177,0.9183847957722449
2,1,22.474472733517043,0.5664059313972204
2,2,18.327540376200183,0.7116548312770528
2,3,13.651374195693851,0.8400231829669121
2,4,11.280345214294275,0.8907681999548678
2,5,10.944923940424191,0.897167639524176
2,6,10.585238893185444,0.9038153792492617
2,7,10.406989842134953,0.9070274868538214
2,8,10.407287177248747,0.9070221741960597
2,9,10.303148896153921,0.9088735899613953
2,10,10.25475376382088,0.9097276429098732
2,11,10.275375101366883,0.9093642195695383
2,12,10.207105737289966,0.9105645829113725
2,13,10.111050940209328,0.9122399411013518
2,14,10.084656694706897,0.9126975270038973
2,15,10.001645382313617,0.9141288629528301
2,16,9.979197221727784,0.9145138967643003
2,17,9.909825908627367,0.9156982947966485
2,18,9.839683315174154,0.9168874606678197
2,19,9.811741633533218,0.9173588186830174
2,20,9.812158421199376,0.9173517975938089
2,21,9.805469937306437,0.9174644339254022
2,22,9.762316450820741,0.918189306881607
2,23,9.729715087900145,0.9187348099164123
2,24,9.710010964150559,0.9190636248823207
2,25,9.729632653734363,0.9187361869351046
3,1,22.010301673915656,0.5752434565239967
3,2,17.892386569014647,0.7193114912671225
3,3,13.267337611143718,0.8456681190511888
3,4,10.981856112373691,0.8942599317926528
3,5,10.865291799148858,0.8964927247114447
3,6,10.520607618002987,0.9029557664447401
3,7,10.268652178070214,0.9075482843054394
3,8,10.122687574754128,0.9101579291094758
3,9,9.901069044755623,0.914048736353003
3,10,9.925761774232855,0.9136194861717662
3,11,9.826931275296412,0.9153310984402728
3,12,9.848185151557322,0.9149644553145875
3,13,9.891400397247818,0.9142165216103428
3,14,9.829001700966604,0.9152954170806906
3,15,9.819969192882226,0.9154510266340515
3,16,9.766497200610074,0.9163692969490714
3,17,9.728203929424431,0.9170238233015022
3,18,9.710228740672255,0.9173301767631518
3,19,9.742192090830736,0.9167850292479521
3,20,9.692744397002034,0.9176276211000163
3,21,9.669479249747091,0.9180225774728812
3,22,9.644560949341555,0.9184445455881873
3,23,9.60790338682934,0.9190633280547729
3,24,9.617198784515706,0.9189066440297844
3,25,9.582243903482041,0.9194950601182384
4,1,22.16746971255245,0.5722832740843236
4,2,18.34089287831563,0.7072041378560242
4,3,13.232367508644463,0.847595042319548
4,4,11.532201371671967,0.884242691379045
4,5,11.10134577177747,0.8927307496098761
4,6,10.172933078992394,0.9099224923192399
4,7,10.089332801688556,0.9113969072293613
4,8,10.087471855056055,0.9114295893549361
4,9,10.063592619545076,0.911848423806396
4,10,9.954064446178842,0.9137567959822605
4,11,9.91621562649943,0.9144114024851303
4,12,9.859120223738167,0.9153941659325072
4,13,9.860963991254438,0.9153625184687826
4,14,9.867920791210054,0.9152430547477266
4,15,9.881188492345181,0.9150149852640409
4,16,9.861268482540048,0.9153572914395642
4,17,9.80698849528678,0.9162865350792254
4,18,9.774610035062247,0.916838394321432
4,19,9.72789837345434,0.9176313333166296
4,20,9.711047818240536,0.9179164423114503
4,21,9.681426943706876,0.9184164251498526
4,22,9.641144129693512,0.9190939242158542
4,23,9.621989877600923,0.9194150802830832
4,24,9.597837270928288,0.9198191324801988
4,25,9.593157906726125,0.9198972967600262
5,1,22.48084066577276,0.5677133033554844
5,2,18.800168979369314,0.6976776316571075
5,3,16.946476507229374,0.7543563152743193
5,4,13.468818281127493,0.8448307137082096
5,5,13.123886231104368,0.8526766148720328
5,6,11.803208907961793,0.8808354812896795
5,7,11.312289906498004,0.890541919345236
5,8,10.733528994106946,0.9014556241719954
5,9,10.564593036941902,0.9045332100705741
5,10,10.523941789382254,0.9052664853786697
5,11,10.5030820999114,0.9056416591099916
5,12,10.387868594278077,0.9077004316681515
5,13,10.320917787509236,0.9088863567066763
5,14,10.32010336190233,0.9089007357295477
5,15,10.348196647320957,0.9084040815850883
5,16,10.48113312450662,0.9060356205890879
5,17,10.388205842797019,0.9076944384467838
5,18,10.403984905929306,0.9074138122308881
5,19,10.377267325215751,0.9078887269382281
5,20,10.328017580914233,0.9087609588389107
5,21,10.301610406153078,0.9092269311506871
5,22,10.228349589726992,0.9105134217966299
5,23,10.172801718663164,0.9114827455853831
5,24,10.146634009260499,0.9119375494298456
5,25,10.19021695015478,0.9111794136147119
