n_features,rmse_mean,rmse_std,r2_mean,r2_std
24,9.766581441912324,0.2227434765019397,0.9176675430427486,0.0032340472392587546
25,9.774003741877097,0.2473256269244727,0.9175385506400652,0.003604882100109695
23,9.783763455840678,0.2298784678546085,0.9173772534208083,0.003325838928026387
22,9.81802742583322,0.2412801636622067,0.9167946898629109,0.0035456596087533273
21,9.860497735351236,0.2580788233456517,0.9160692992375618,0.0038536967666818393
20,9.87784082560167,0.259863889822918,0.9157721214198353,0.003928817753590038
19,9.90728892972194,0.26941767821905266,0.9152653501136608,0.004142990042003083
18,9.925230432250952,0.27667550205053204,0.9149579569979085,0.00423248084045431
17,9.954374561730472,0.25657224873036993,0.9144656530753412,0.0038266528304136
16,10.00794192533038,0.2773615435765451,0.9135362004062362,0.004244096506841054
15,10.015382334705624,0.20448669079437554,0.9134271939628708,0.0028655200588589484
14,10.026625260496578,0.1960627712562791,0.913235794405559,0.0026459381878141622
13,10.05029039966988,0.1859467302417788,0.9128270199589057,0.0024797305217420583
12,10.07691526927734,0.23098843913154346,0.9123584329180096,0.0032240563129206337
11,10.114162651010801,0.2752960391228882,0.9116971780058588,0.004088011521183649
10,10.151086378354686,0.24611581140376326,0.9110574092623255,0.0036266626637737453
9,10.20926778626167,0.25064875873942427,0.9100380541117176,0.003596589836972935
8,10.345305097589064,0.26053352074535674,0.9076218467795713,0.0038565097200728283
7,10.507638444333107,0.472194365639818,0.904607784914363,0.008094988929986157
6,10.711028431260184,0.6306885728133202,0.9007669639717498,0.011465698802788983
5,11.330608389890667,1.017603558985212,0.888554247466679,0.020441121225464935
4,11.718600121088784,0.9980040802321218,0.8808906857474696,0.02047787814856371
3,14.152612866494906,1.5751784580527646,0.8256249234370721,0.039973965478822156
2,18.31116305416285,0.3275617574676977,0.710612919988708,0.008650138357109123
1,22.331740514132758,0.2294011562982125,0.5696446559163764,0.003935000583946242
